trainSize,testSize,dimention,selRatio,model,measure,value,method,dataset,noise,train_seed,fullset_value
120,2996,14,0.01,DT,acc,0.591455274,byAC,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.560413885,byAC,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.602136182,byAC,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.634846462,byAC,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.547076923,byAC,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.987692308,byAC,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.985846154,byAC,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.985846154,byAC,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.733108108,byAC,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.742567568,byAC,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.584375,byAC,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.5228125,byAC,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.571875,byAC,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.5240625,byAC,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.5165625,byAC,url_spam,na,5,0.860625
120,2996,14,0.01,DT,acc,0.387182911,byFreq,eegEyeState,na,1,0.825100134
120,2996,14,0.01,DT,acc,0.448598131,byFreq,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.494993324,byFreq,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.453604806,byFreq,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.464953271,byFreq,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.996923077,byFreq,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.993230769,byFreq,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.994461538,byFreq,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.933538462,byFreq,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.27972973,byFreq,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.47027027,byFreq,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.2809375,byFreq,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.3621875,byFreq,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.3075,byFreq,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.320625,byFreq,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.2621875,byFreq,url_spam,na,5,0.860625
120,2996,14,0.01,DT,acc,0.551735648,byVoronoiFilter02,eegEyeState,na,1,0.825100134
120,2996,14,0.01,DT,acc,0.625834446,byVoronoiFilter02,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.577102804,byVoronoiFilter02,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.604138852,byVoronoiFilter02,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.612817089,byVoronoiFilter02,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.980307692,byVoronoiFilter02,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.971692308,byVoronoiFilter02,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.990153846,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.997538462,byVoronoiFilter02,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.734459459,byVoronoiFilter02,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.736486486,byVoronoiFilter02,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.715,byVoronoiFilter02,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.723125,byVoronoiFilter02,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.6303125,byVoronoiFilter02,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.7578125,byVoronoiFilter02,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.7559375,byVoronoiFilter02,url_spam,na,5,0.860625
120,2996,14,0.01,DT,auc,0.584405798,byAC,eegEyeState,na,2,0.86468791
120,2996,14,0.01,DT,auc,0.557789931,byAC,eegEyeState,na,3,0.840101401
120,2996,14,0.01,DT,auc,0.629136553,byAC,eegEyeState,na,4,0.851636703
120,2996,14,0.01,DT,auc,0.637937562,byAC,eegEyeState,na,5,0.859711703
65,1625,18,0.01,DT,auc,0.571515428,byAC,mushroom,na,2,1
65,1625,18,0.01,DT,auc,0.987309645,byAC,mushroom,na,3,1
65,1625,18,0.01,DT,auc,0.98525641,byAC,mushroom,na,4,1
65,1625,18,0.01,DT,auc,0.985588972,byAC,mushroom,na,5,1
60,1480,20,0.01,DT,auc,0.732293128,byAC,twonorm,na,2,0.837596606
60,1480,20,0.01,DT,auc,0.741042202,byAC,twonorm,na,4,0.839547836
128,3200,8,0.01,DT,auc,0.595293347,byAC,url_spam,na,1,0.908155291
128,3200,8,0.01,DT,auc,0.606173336,byAC,url_spam,na,2,0.922204105
128,3200,8,0.01,DT,auc,0.55303824,byAC,url_spam,na,3,0.91978237
128,3200,8,0.01,DT,auc,0.60084916,byAC,url_spam,na,4,0.918534533
128,3200,8,0.01,DT,auc,0.592130988,byAC,url_spam,na,5,0.917599515
120,2996,14,0.01,DT,auc,0.382854063,byFreq,eegEyeState,na,1,0.839152444
120,2996,14,0.01,DT,auc,0.437959084,byFreq,eegEyeState,na,2,0.86468791
120,2996,14,0.01,DT,auc,0.454294207,byFreq,eegEyeState,na,3,0.840101401
120,2996,14,0.01,DT,auc,0.436609126,byFreq,eegEyeState,na,4,0.851636703
120,2996,14,0.01,DT,auc,0.447556873,byFreq,eegEyeState,na,5,0.859711703
65,1625,18,0.01,DT,auc,0.996732026,byFreq,mushroom,na,2,1
65,1625,18,0.01,DT,auc,0.993020305,byFreq,mushroom,na,3,1
65,1625,18,0.01,DT,auc,0.994230769,byFreq,mushroom,na,4,1
65,1625,18,0.01,DT,auc,0.934418119,byFreq,mushroom,na,5,1
60,1480,20,0.01,DT,auc,0.232125117,byFreq,twonorm,na,2,0.837596606
60,1480,20,0.01,DT,auc,0.434774667,byFreq,twonorm,na,4,0.839547836
128,3200,8,0.01,DT,auc,0.278923373,byFreq,url_spam,na,1,0.908155291
128,3200,8,0.01,DT,auc,0.356942908,byFreq,url_spam,na,2,0.922204105
128,3200,8,0.01,DT,auc,0.306835796,byFreq,url_spam,na,3,0.91978237
128,3200,8,0.01,DT,auc,0.324366637,byFreq,url_spam,na,4,0.918534533
128,3200,8,0.01,DT,auc,0.262395258,byFreq,url_spam,na,5,0.917599515
120,2996,14,0.01,DT,auc,0.573983228,byVoronoiFilter02,eegEyeState,na,1,0.839152444
120,2996,14,0.01,DT,auc,0.622839489,byVoronoiFilter02,eegEyeState,na,2,0.86468791
120,2996,14,0.01,DT,auc,0.601036544,byVoronoiFilter02,eegEyeState,na,3,0.840101401
120,2996,14,0.01,DT,auc,0.583617076,byVoronoiFilter02,eegEyeState,na,4,0.851636703
120,2996,14,0.01,DT,auc,0.616707617,byVoronoiFilter02,eegEyeState,na,5,0.859711703
65,1625,18,0.01,DT,auc,0.980528956,byVoronoiFilter02,mushroom,na,2,1
65,1625,18,0.01,DT,auc,0.972372323,byVoronoiFilter02,mushroom,na,3,1
65,1625,18,0.01,DT,auc,0.989891519,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,DT,auc,0.997493734,byVoronoiFilter02,mushroom,na,5,1
60,1480,20,0.01,DT,auc,0.711821383,byVoronoiFilter02,twonorm,na,2,0.837596606
60,1480,20,0.01,DT,auc,0.758947751,byVoronoiFilter02,twonorm,na,4,0.839547836
128,3200,8,0.01,DT,auc,0.712893242,byVoronoiFilter02,url_spam,na,1,0.908155291
128,3200,8,0.01,DT,auc,0.720917656,byVoronoiFilter02,url_spam,na,2,0.922204105
128,3200,8,0.01,DT,auc,0.645989587,byVoronoiFilter02,url_spam,na,3,0.91978237
128,3200,8,0.01,DT,auc,0.764263983,byVoronoiFilter02,url_spam,na,4,0.918534533
128,3200,8,0.01,DT,auc,0.753426477,byVoronoiFilter02,url_spam,na,5,0.917599515
120,2996,14,0.01,DT,f1,0.666121113,byAC,eegEyeState,na,2,0.853629274
120,2996,14,0.01,DT,f1,0.601029991,byAC,eegEyeState,na,3,0.844935763
120,2996,14,0.01,DT,f1,0.718469532,byAC,eegEyeState,na,4,0.854545455
120,2996,14,0.01,DT,f1,0.65003199,byAC,eegEyeState,na,5,0.860744298
65,1625,18,0.01,DT,f1,0.264,byAC,mushroom,na,2,1
65,1625,18,0.01,DT,f1,0.988193625,byAC,mushroom,na,3,1
65,1625,18,0.01,DT,f1,0.986573263,byAC,mushroom,na,4,1
65,1625,18,0.01,DT,f1,0.986285033,byAC,mushroom,na,5,1
60,1480,20,0.01,DT,f1,0.768870685,byAC,twonorm,na,2,0.857332449
60,1480,20,0.01,DT,f1,0.767257178,byAC,twonorm,na,4,0.862876254
128,3200,8,0.01,DT,f1,0.355620155,byAC,url_spam,na,1,0.857743097
128,3200,8,0.01,DT,f1,0.069469835,byAC,url_spam,na,2,0.874065211
128,3200,8,0.01,DT,f1,0.312248996,byAC,url_spam,na,3,0.874025195
128,3200,8,0.01,DT,f1,0.159028161,byAC,url_spam,na,4,0.876190476
128,3200,8,0.01,DT,f1,0.105263158,byAC,url_spam,na,5,0.868591632
120,2996,14,0.01,DT,f1,0.433333333,byFreq,eegEyeState,na,1,0.841882921
120,2996,14,0.01,DT,f1,0.518086348,byFreq,eegEyeState,na,2,0.853629274
120,2996,14,0.01,DT,f1,0.589861751,byFreq,eegEyeState,na,3,0.844935763
120,2996,14,0.01,DT,f1,0.549408203,byFreq,eegEyeState,na,4,0.854545455
120,2996,14,0.01,DT,f1,0.556324384,byFreq,eegEyeState,na,5,0.860744298
65,1625,18,0.01,DT,f1,0.997101449,byFreq,mushroom,na,2,1
65,1625,18,0.01,DT,f1,0.99347181,byFreq,mushroom,na,3,1
65,1625,18,0.01,DT,f1,0.994702766,byFreq,mushroom,na,4,1
65,1625,18,0.01,DT,f1,0.93129771,byFreq,mushroom,na,5,1
60,1480,20,0.01,DT,f1,0.211538462,byFreq,twonorm,na,2,0.857332449
60,1480,20,0.01,DT,f1,0.38170347,byFreq,twonorm,na,4,0.862876254
128,3200,8,0.01,DT,f1,0.179093828,byFreq,url_spam,na,1,0.857743097
128,3200,8,0.01,DT,f1,0.081044575,byFreq,url_spam,na,2,0.874065211
128,3200,8,0.01,DT,f1,0.2,byFreq,url_spam,na,3,0.874025195
128,3200,8,0.01,DT,f1,0.087321579,byFreq,url_spam,na,4,0.876190476
128,3200,8,0.01,DT,f1,0.170706006,byFreq,url_spam,na,5,0.868591632
120,2996,14,0.01,DT,f1,0.580967239,byVoronoiFilter02,eegEyeState,na,1,0.841882921
120,2996,14,0.01,DT,f1,0.658544015,byVoronoiFilter02,eegEyeState,na,2,0.853629274
120,2996,14,0.01,DT,f1,0.571235195,byVoronoiFilter02,eegEyeState,na,3,0.844935763
120,2996,14,0.01,DT,f1,0.669637883,byVoronoiFilter02,eegEyeState,na,4,0.854545455
120,2996,14,0.01,DT,f1,0.640644362,byVoronoiFilter02,eegEyeState,na,5,0.860744298
65,1625,18,0.01,DT,f1,0.981308411,byVoronoiFilter02,mushroom,na,2,1
65,1625,18,0.01,DT,f1,0.971882641,byVoronoiFilter02,mushroom,na,3,1
65,1625,18,0.01,DT,f1,0.990588235,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,DT,f1,0.997587455,byVoronoiFilter02,mushroom,na,5,1
60,1480,20,0.01,DT,f1,0.737123746,byVoronoiFilter02,twonorm,na,2,0.857332449
60,1480,20,0.01,DT,f1,0.756857855,byVoronoiFilter02,twonorm,na,4,0.862876254
128,3200,8,0.01,DT,f1,0.66980449,byVoronoiFilter02,url_spam,na,1,0.857743097
128,3200,8,0.01,DT,f1,0.678519594,byVoronoiFilter02,url_spam,na,2,0.874065211
128,3200,8,0.01,DT,f1,0.50728863,byVoronoiFilter02,url_spam,na,3,0.874025195
128,3200,8,0.01,DT,f1,0.748294901,byVoronoiFilter02,url_spam,na,4,0.876190476
128,3200,8,0.01,DT,f1,0.763977032,byVoronoiFilter02,url_spam,na,5,0.868591632
120,2996,14,0.01,DT,time(s),0.166554689,byAC,eegEyeState,na,2,6.492632627
120,2996,14,0.01,DT,time(s),0.166554213,byAC,eegEyeState,na,3,6.559455872
120,2996,14,0.01,DT,time(s),0.16358614,byAC,eegEyeState,na,4,6.492636204
120,2996,14,0.01,DT,time(s),0.167552233,byAC,eegEyeState,na,5,6.565447807
65,1625,18,0.01,DT,time(s),0.143615723,byAC,mushroom,na,2,0.703115225
65,1625,18,0.01,DT,time(s),0.144610405,byAC,mushroom,na,3,0.706111431
65,1625,18,0.01,DT,time(s),0.144613981,byAC,mushroom,na,4,0.700134993
65,1625,18,0.01,DT,time(s),0.139627218,byAC,mushroom,na,5,0.708108187
60,1480,20,0.01,DT,time(s),0.15957284,byAC,twonorm,na,2,7.179783821
60,1480,20,0.01,DT,time(s),0.159573078,byAC,twonorm,na,4,7.297493696
128,3200,8,0.01,DT,time(s),0.150597572,byAC,url_spam,na,1,1.346805096
128,3200,8,0.01,DT,time(s),0.150597095,byAC,url_spam,na,2,1.362379074
128,3200,8,0.01,DT,time(s),0.141646862,byAC,url_spam,na,3,1.340163708
128,3200,8,0.01,DT,time(s),0.147605181,byAC,url_spam,na,4,1.31348443
128,3200,8,0.01,DT,time(s),0.134639978,byAC,url_spam,na,5,1.328300476
120,2996,14,0.01,DT,time(s),0.164559603,byFreq,eegEyeState,na,1,6.54549098
120,2996,14,0.01,DT,time(s),0.164563656,byFreq,eegEyeState,na,2,6.492632627
120,2996,14,0.01,DT,time(s),0.160563469,byFreq,eegEyeState,na,3,6.559455872
120,2996,14,0.01,DT,time(s),0.163563728,byFreq,eegEyeState,na,4,6.492636204
120,2996,14,0.01,DT,time(s),0.162564754,byFreq,eegEyeState,na,5,6.565447807
65,1625,18,0.01,DT,time(s),0.143622875,byFreq,mushroom,na,2,0.703115225
65,1625,18,0.01,DT,time(s),0.147604942,byFreq,mushroom,na,3,0.706111431
65,1625,18,0.01,DT,time(s),0.141627312,byFreq,mushroom,na,4,0.700134993
65,1625,18,0.01,DT,time(s),0.139626741,byFreq,mushroom,na,5,0.708108187
60,1480,20,0.01,DT,time(s),0.160570145,byFreq,twonorm,na,2,7.179783821
60,1480,20,0.01,DT,time(s),0.162564754,byFreq,twonorm,na,4,7.297493696
128,3200,8,0.01,DT,time(s),0.151594162,byFreq,url_spam,na,1,1.346805096
128,3200,8,0.01,DT,time(s),0.151594639,byFreq,url_spam,na,2,1.362379074
128,3200,8,0.01,DT,time(s),0.153589249,byFreq,url_spam,na,3,1.340163708
128,3200,8,0.01,DT,time(s),0.140623808,byFreq,url_spam,na,4,1.31348443
128,3200,8,0.01,DT,time(s),0.148602486,byFreq,url_spam,na,5,1.328300476
120,2996,14,0.01,DT,time(s),0.169544697,byVoronoiFilter02,eegEyeState,na,1,6.54549098
120,2996,14,0.01,DT,time(s),0.167559147,byVoronoiFilter02,eegEyeState,na,2,6.492632627
120,2996,14,0.01,DT,time(s),0.166554689,byVoronoiFilter02,eegEyeState,na,3,6.559455872
120,2996,14,0.01,DT,time(s),0.173562765,byVoronoiFilter02,eegEyeState,na,4,6.492636204
120,2996,14,0.01,DT,time(s),0.169542074,byVoronoiFilter02,eegEyeState,na,5,6.565447807
65,1625,18,0.01,DT,time(s),0.13862896,byVoronoiFilter02,mushroom,na,2,0.703115225
65,1625,18,0.01,DT,time(s),0.142618179,byVoronoiFilter02,mushroom,na,3,0.706111431
65,1625,18,0.01,DT,time(s),0.14162302,byVoronoiFilter02,mushroom,na,4,0.700134993
65,1625,18,0.01,DT,time(s),0.141591072,byVoronoiFilter02,mushroom,na,5,0.708108187
60,1480,20,0.01,DT,time(s),0.160570145,byVoronoiFilter02,twonorm,na,2,7.179783821
60,1480,20,0.01,DT,time(s),0.162565231,byVoronoiFilter02,twonorm,na,4,7.297493696
128,3200,8,0.01,DT,time(s),0.152591705,byVoronoiFilter02,url_spam,na,1,1.346805096
128,3200,8,0.01,DT,time(s),0.150596857,byVoronoiFilter02,url_spam,na,2,1.362379074
128,3200,8,0.01,DT,time(s),0.143957138,byVoronoiFilter02,url_spam,na,3,1.340163708
128,3200,8,0.01,DT,time(s),0.155583858,byVoronoiFilter02,url_spam,na,4,1.31348443
128,3200,8,0.01,DT,time(s),0.155583858,byVoronoiFilter02,url_spam,na,5,1.328300476
120,2996,14,0.01,GBDT,acc,0.591789052,byAC,eegEyeState,na,2,0.784379172
120,2996,14,0.01,GBDT,acc,0.596461949,byAC,eegEyeState,na,3,0.803738318
120,2996,14,0.01,GBDT,acc,0.627503338,byAC,eegEyeState,na,4,0.793724967
120,2996,14,0.01,GBDT,acc,0.631508678,byAC,eegEyeState,na,5,0.795727637
65,1625,18,0.01,GBDT,acc,0.949538462,byAC,mushroom,na,2,0.998769231
65,1625,18,0.01,GBDT,acc,0.831384615,byAC,mushroom,na,3,0.999384615
65,1625,18,0.01,GBDT,acc,0.793846154,byAC,mushroom,na,4,1
65,1625,18,0.01,GBDT,acc,0.96,byAC,mushroom,na,5,0.999384615
60,1480,20,0.01,GBDT,acc,0.693918919,byAC,twonorm,na,2,0.97027027
60,1480,20,0.01,GBDT,acc,0.728378378,byAC,twonorm,na,4,0.966891892
128,3200,8,0.01,GBDT,acc,0.5275,byAC,url_spam,na,1,0.794375
128,3200,8,0.01,GBDT,acc,0.375,byAC,url_spam,na,2,0.813125
128,3200,8,0.01,GBDT,acc,0.5828125,byAC,url_spam,na,3,0.8121875
128,3200,8,0.01,GBDT,acc,0.5240625,byAC,url_spam,na,4,0.8121875
128,3200,8,0.01,GBDT,acc,0.5165625,byAC,url_spam,na,5,0.8053125
120,2996,14,0.01,GBDT,acc,0.382510013,byFreq,eegEyeState,na,1,0.794726302
120,2996,14,0.01,GBDT,acc,0.468291055,byFreq,eegEyeState,na,2,0.784379172
120,2996,14,0.01,GBDT,acc,0.467623498,byFreq,eegEyeState,na,3,0.803738318
120,2996,14,0.01,GBDT,acc,0.429572764,byFreq,eegEyeState,na,4,0.793724967
120,2996,14,0.01,GBDT,acc,0.472963952,byFreq,eegEyeState,na,5,0.795727637
65,1625,18,0.01,GBDT,acc,0.992,byFreq,mushroom,na,2,0.998769231
65,1625,18,0.01,GBDT,acc,0.990769231,byFreq,mushroom,na,3,0.999384615
65,1625,18,0.01,GBDT,acc,0.994461538,byFreq,mushroom,na,4,1
65,1625,18,0.01,GBDT,acc,0.988923077,byFreq,mushroom,na,5,0.999384615
60,1480,20,0.01,GBDT,acc,0.256756757,byFreq,twonorm,na,2,0.97027027
60,1480,20,0.01,GBDT,acc,0.308108108,byFreq,twonorm,na,4,0.966891892
128,3200,8,0.01,GBDT,acc,0.2809375,byFreq,url_spam,na,1,0.794375
128,3200,8,0.01,GBDT,acc,0.3621875,byFreq,url_spam,na,2,0.813125
128,3200,8,0.01,GBDT,acc,0.3075,byFreq,url_spam,na,3,0.8121875
128,3200,8,0.01,GBDT,acc,0.320625,byFreq,url_spam,na,4,0.8121875
128,3200,8,0.01,GBDT,acc,0.2621875,byFreq,url_spam,na,5,0.8053125
120,2996,14,0.01,GBDT,acc,0.640186916,byVoronoiFilter02,eegEyeState,na,1,0.794726302
120,2996,14,0.01,GBDT,acc,0.653871829,byVoronoiFilter02,eegEyeState,na,2,0.784379172
120,2996,14,0.01,GBDT,acc,0.638851802,byVoronoiFilter02,eegEyeState,na,3,0.803738318
120,2996,14,0.01,GBDT,acc,0.675567423,byVoronoiFilter02,eegEyeState,na,4,0.793724967
120,2996,14,0.01,GBDT,acc,0.639853138,byVoronoiFilter02,eegEyeState,na,5,0.795727637
65,1625,18,0.01,GBDT,acc,0.980307692,byVoronoiFilter02,mushroom,na,2,0.998769231
65,1625,18,0.01,GBDT,acc,0.919384615,byVoronoiFilter02,mushroom,na,3,0.999384615
65,1625,18,0.01,GBDT,acc,0.990153846,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,GBDT,acc,0.996307692,byVoronoiFilter02,mushroom,na,5,0.999384615
60,1480,20,0.01,GBDT,acc,0.854054054,byVoronoiFilter02,twonorm,na,2,0.97027027
60,1480,20,0.01,GBDT,acc,0.830405405,byVoronoiFilter02,twonorm,na,4,0.966891892
128,3200,8,0.01,GBDT,acc,0.7259375,byVoronoiFilter02,url_spam,na,1,0.794375
128,3200,8,0.01,GBDT,acc,0.7334375,byVoronoiFilter02,url_spam,na,2,0.813125
128,3200,8,0.01,GBDT,acc,0.653125,byVoronoiFilter02,url_spam,na,3,0.8121875
128,3200,8,0.01,GBDT,acc,0.7590625,byVoronoiFilter02,url_spam,na,4,0.8121875
128,3200,8,0.01,GBDT,acc,0.72625,byVoronoiFilter02,url_spam,na,5,0.8053125
120,2996,14,0.01,GBDT,auc,0.616863702,byAC,eegEyeState,na,2,0.867055985
120,2996,14,0.01,GBDT,auc,0.637446309,byAC,eegEyeState,na,3,0.877633182
120,2996,14,0.01,GBDT,auc,0.658237,byAC,eegEyeState,na,4,0.880696406
120,2996,14,0.01,GBDT,auc,0.648584798,byAC,eegEyeState,na,5,0.877004803
65,1625,18,0.01,GBDT,auc,0.956916705,byAC,mushroom,na,2,0.99998936
65,1625,18,0.01,GBDT,auc,0.737673526,byAC,mushroom,na,3,1
65,1625,18,0.01,GBDT,auc,0.95989076,byAC,mushroom,na,4,1
65,1625,18,0.01,GBDT,auc,0.985573062,byAC,mushroom,na,5,1
60,1480,20,0.01,GBDT,auc,0.783035114,byAC,twonorm,na,2,0.995235434
60,1480,20,0.01,GBDT,auc,0.76681779,byAC,twonorm,na,4,0.994397723
128,3200,8,0.01,GBDT,auc,0.595555922,byAC,url_spam,na,1,0.871274281
128,3200,8,0.01,GBDT,auc,0.366578085,byAC,url_spam,na,2,0.887804507
128,3200,8,0.01,GBDT,auc,0.564163323,byAC,url_spam,na,3,0.884386367
128,3200,8,0.01,GBDT,auc,0.60870508,byAC,url_spam,na,4,0.88438314
128,3200,8,0.01,GBDT,auc,0.592130988,byAC,url_spam,na,5,0.879247818
120,2996,14,0.01,GBDT,auc,0.328548526,byFreq,eegEyeState,na,1,0.875299614
120,2996,14,0.01,GBDT,auc,0.402668466,byFreq,eegEyeState,na,2,0.867055985
120,2996,14,0.01,GBDT,auc,0.3995651,byFreq,eegEyeState,na,3,0.877633182
120,2996,14,0.01,GBDT,auc,0.394382459,byFreq,eegEyeState,na,4,0.880696406
120,2996,14,0.01,GBDT,auc,0.406406933,byFreq,eegEyeState,na,5,0.877004803
65,1625,18,0.01,GBDT,auc,0.995901353,byFreq,mushroom,na,2,0.99998936
65,1625,18,0.01,GBDT,auc,0.996093584,byFreq,mushroom,na,3,1
65,1625,18,0.01,GBDT,auc,0.994230769,byFreq,mushroom,na,4,1
65,1625,18,0.01,GBDT,auc,0.994995803,byFreq,mushroom,na,5,1
60,1480,20,0.01,GBDT,auc,0.182834049,byFreq,twonorm,na,2,0.995235434
60,1480,20,0.01,GBDT,auc,0.220145546,byFreq,twonorm,na,4,0.994397723
128,3200,8,0.01,GBDT,auc,0.246325028,byFreq,url_spam,na,1,0.871274281
128,3200,8,0.01,GBDT,auc,0.341147641,byFreq,url_spam,na,2,0.887804507
128,3200,8,0.01,GBDT,auc,0.241055245,byFreq,url_spam,na,3,0.884386367
128,3200,8,0.01,GBDT,auc,0.247729121,byFreq,url_spam,na,4,0.88438314
128,3200,8,0.01,GBDT,auc,0.262395258,byFreq,url_spam,na,5,0.879247818
120,2996,14,0.01,GBDT,auc,0.676167509,byVoronoiFilter02,eegEyeState,na,1,0.875299614
120,2996,14,0.01,GBDT,auc,0.693660261,byVoronoiFilter02,eegEyeState,na,2,0.867055985
120,2996,14,0.01,GBDT,auc,0.636423852,byVoronoiFilter02,eegEyeState,na,3,0.877633182
120,2996,14,0.01,GBDT,auc,0.725622332,byVoronoiFilter02,eegEyeState,na,4,0.880696406
120,2996,14,0.01,GBDT,auc,0.679973287,byVoronoiFilter02,eegEyeState,na,5,0.877004803
65,1625,18,0.01,GBDT,auc,0.979930081,byVoronoiFilter02,mushroom,na,2,0.99998936
65,1625,18,0.01,GBDT,auc,0.992292542,byVoronoiFilter02,mushroom,na,3,1
65,1625,18,0.01,GBDT,auc,0.999937794,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,GBDT,auc,0.997781637,byVoronoiFilter02,mushroom,na,5,1
60,1480,20,0.01,GBDT,auc,0.933622969,byVoronoiFilter02,twonorm,na,2,0.995235434
60,1480,20,0.01,GBDT,auc,0.923283332,byVoronoiFilter02,twonorm,na,4,0.994397723
128,3200,8,0.01,GBDT,auc,0.738881893,byVoronoiFilter02,url_spam,na,1,0.871274281
128,3200,8,0.01,GBDT,auc,0.785110753,byVoronoiFilter02,url_spam,na,2,0.887804507
128,3200,8,0.01,GBDT,auc,0.763237831,byVoronoiFilter02,url_spam,na,3,0.884386367
128,3200,8,0.01,GBDT,auc,0.793110764,byVoronoiFilter02,url_spam,na,4,0.88438314
128,3200,8,0.01,GBDT,auc,0.795768032,byVoronoiFilter02,url_spam,na,5,0.879247818
120,2996,14,0.01,GBDT,f1,0.672381463,byAC,eegEyeState,na,2,0.81447444
120,2996,14,0.01,GBDT,f1,0.629027309,byAC,eegEyeState,na,3,0.833898305
120,2996,14,0.01,GBDT,f1,0.721,byAC,eegEyeState,na,4,0.822821101
120,2996,14,0.01,GBDT,f1,0.656288917,byAC,eegEyeState,na,5,0.826136364
65,1625,18,0.01,GBDT,f1,0.951306413,byAC,mushroom,na,2,0.99883856
65,1625,18,0.01,GBDT,f1,0.850762527,byAC,mushroom,na,3,0.999402985
65,1625,18,0.01,GBDT,f1,0.834567901,byAC,mushroom,na,4,1
65,1625,18,0.01,GBDT,f1,0.962187318,byAC,mushroom,na,5,0.99939577
60,1480,20,0.01,GBDT,f1,0.753938077,byAC,twonorm,na,2,0.970509383
60,1480,20,0.01,GBDT,f1,0.759281437,byAC,twonorm,na,4,0.967311541
128,3200,8,0.01,GBDT,f1,0.118881119,byAC,url_spam,na,1,0.804399524
128,3200,8,0.01,GBDT,f1,0.516908213,byAC,url_spam,na,2,0.821705426
128,3200,8,0.01,GBDT,f1,0.351627003,byAC,url_spam,na,3,0.819356778
128,3200,8,0.01,GBDT,f1,0.159028161,byAC,url_spam,na,4,0.821925926
128,3200,8,0.01,GBDT,f1,0.105263158,byAC,url_spam,na,5,0.81573499
120,2996,14,0.01,GBDT,f1,0.452662722,byFreq,eegEyeState,na,1,0.824836229
120,2996,14,0.01,GBDT,f1,0.590804007,byFreq,eegEyeState,na,2,0.81447444
120,2996,14,0.01,GBDT,f1,0.579710145,byFreq,eegEyeState,na,3,0.833898305
120,2996,14,0.01,GBDT,f1,0.511295396,byFreq,eegEyeState,na,4,0.822821101
120,2996,14,0.01,GBDT,f1,0.586324338,byFreq,eegEyeState,na,5,0.826136364
65,1625,18,0.01,GBDT,f1,0.992498557,byFreq,mushroom,na,2,0.99883856
65,1625,18,0.01,GBDT,f1,0.991119005,byFreq,mushroom,na,3,0.999402985
65,1625,18,0.01,GBDT,f1,0.994702766,byFreq,mushroom,na,4,1
65,1625,18,0.01,GBDT,f1,0.98923445,byFreq,mushroom,na,5,0.99939577
60,1480,20,0.01,GBDT,f1,0.244505495,byFreq,twonorm,na,2,0.970509383
60,1480,20,0.01,GBDT,f1,0.256894049,byFreq,twonorm,na,4,0.967311541
